firstname,surname,born_country_code,died_country_code,gender,year,category,share,name_of_university,city_of_university,country_of_university,born_month,age,age_get_prize
Yoshinori,Ohsumi,JP,,male,2016,medicine,1,Tokyo Institute of Technology,Tokyo,Japan,Feb,75,71
David J.,Thouless,GB,GB,male,2016,physics,2,University of Washington,Seattle WA,USA,Sep,85,82
F. Duncan M.,Haldane,GB,,male,2016,physics,4,Princeton University,Princeton NJ,USA,Sep,69,65
J. Michael,Kosterlitz,GB,,male,2016,physics,4,Brown University,Providence RI,USA,Jun,77,73
Jean-Pierre,Sauvage,FR,,male,2016,chemistry,3,University of Strasbourg,Strasbourg,France,Oct,76,72
Sir J. Fraser,Stoddart,GB,,male,2016,chemistry,3,Northwestern University,Evanston IL,USA,May,78,74
Bernard L.,Feringa,NL,,male,2016,chemistry,3,University of Groningen,Groningen,the Netherlands,May,69,65
Juan Manuel,Santos,CO,,male,2016,peace,1,,,,Aug,69,65
Oliver,Hart,GB,,male,2016,economics,2,Harvard University,Cambridge MA,USA,Oct,72,68
Bengt,Holmström,FI,,male,2016,economics,2,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Apr,71,67
Bob,Dylan,US,,male,2016,literature,1,,,,May,79,75
Jeffrey C.,Hall,US,,male,2017,medicine,3,University of Maine,Maine ME,USA,May,75,72
Michael,Rosbash,US,,male,2017,medicine,3,Brandeis University,Waltham MA,USA,Mar,76,73
Michael W.,Young,US,,male,2017,medicine,3,Rockefeller University,New York NY,USA,Mar,71,68
Rainer,Weiss,DE,,male,2017,physics,2,LIGO/VIRGO Collaboration,,,Sep,88,85
Barry C.,Barish,US,,male,2017,physics,4,LIGO/VIRGO Collaboration,,,Jan,84,81
Kip S.,Thorne,US,,male,2017,physics,4,LIGO/VIRGO Collaboration,,,Jun,80,77
Jacques,Dubochet,CH,,male,2017,chemistry,3,University of Lausanne,Lausanne,Switzerland,Jun,78,75
Joachim,Frank,DE,,male,2017,chemistry,3,Columbia University,New York NY,USA,Sep,80,77
Richard,Henderson,GB,,male,2017,chemistry,3,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Jul,75,72
Kazuo,Ishiguro,JP,,male,2017,literature,1,,,,Nov,66,63
Richard H.,Thaler,US,,male,2017,economics,1,University of Chicago,Chicago IL,USA,Sep,75,72
James P.,Allison,US,,male,2018,medicine,2,Parker Institute for Cancer Immunotherapy,San Francisco CA,USA,Aug,72,70
Tasuku,Honjo,JP,,male,2018,medicine,2,Kyoto University,Kyoto,Japan,Jan,78,76
Arthur,Ashkin,US,,male,2018,physics,2,Bell Laboratories,Holmdel NJ,USA,Sep,98,96
Gérard,Mourou,FR,,male,2018,physics,4,École Polytechnique,Palaiseau,France,Jun,76,74
Donna,Strickland,CA,,female,2018,physics,4,University of Waterloo,Waterloo,Canada,May,61,59
Frances H.,Arnold,US,,female,2018,chemistry,2,California Institute of Technology (Caltech),Pasadena CA,USA,Jul,64,62
George P.,Smith,US,,male,2018,chemistry,4,University of Missouri,Columbia,USA,Mar,79,77
Sir Gregory P.,Winter,GB,,male,2018,chemistry,4,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,Apr,69,67
Denis,Mukwege,CD,,male,2018,peace,2,,,,Mar,65,63
Nadia,Murad,IQ,,female,2018,peace,2,,,,Jan,27,25
William D.,Nordhaus,US,,male,2018,economics,2,Yale University,New Haven CT,USA,May,79,77
Paul M.,Romer,US,,male,2018,economics,2,NYU Stern School of Business,New York NY,USA,Nov,65,63
Olga,Tokarczuk,PL,,female,2018,literature,1,,,,Jan,58,56
William,Kaelin,US,,male,2019,medicine,3,Harvard Medical School,Boston MA,USA,Nov,63,62
